序号,饮料类商品,标签
1,100g*5瓶益力多,滞销
2,13g雀巢咖啡1+2特浓,滞销
3,145ml旺仔牛奶盒装,热销
4,145ml旺仔牛奶罐装,滞销
5,150g健能酸奶原味,滞销
6,180ml雀巢咖啡罐装,滞销
7,205g伊利安慕希原味,正常
8,205ml安慕希蓝莓味,滞销
9,250ML东鹏特饮,滞销
10,250ml燕塘原味酸奶,热销
11,250ml燕塘甜牛奶,热销
12,250ml燕塘红枣牛奶,热销
13,250ml王老吉盒装,滞销
14,250ml红牛,热销
15,250ml统一麦香奶茶,滞销
16,250ml维他原味豆奶,热销
17,250ml维他奶低糖原味,滞销
18,250ml维他奶巧克力味,正常
19,250ml维他奶黑豆奶饮品,滞销
20,250ml维他柠檬茶,热销
21,250ml维他椰子味豆奶7716,滞销
22,250ml维他椰子植物蛋白饮料,滞销
23,250ml维他椰子植物蛋白饮料9374,滞销
24,250ml香满楼纯牛奶,滞销
25,268ml雀巢咖啡丝滑拿铁,热销
26,330ml伊利畅意乳酸菌原味,正常
27,330ml伊利畅意乳酸菌草莓味,滞销
28,340ml蒙牛优益C乳酸菌,滞销
29,450ml美汁源果粒橙,正常
30,480ml小茗同学冷泡溜溜哒茶,滞销
31,480ml小茗同学冷泡青柠红茶,滞销
32,500ML宝矿力,滞销
33,500ml农夫果园 (芒果+菠萝+番石榴),滞销
34,500ml加多宝,正常
35,500ml康师傅冰糖雪梨,滞销
36,500ml恒大冰泉矿泉水,滞销
37,500ml统一冰糖雪梨,滞销
38,500ml统一阿萨姆奶茶,正常
39,500ml营养快线原味,滞销
40,600ml可口可乐,正常
41,600ml脉动青柠,滞销
42,600ml雪碧,正常
43,80g香飘飘椰果奶茶原味,滞销
44,80g香飘飘椰果奶茶麦香味,滞销
45,东鹏特饮,热销
46,乐虎,滞销
47,乐虎（380ml）,滞销
48,伊利优酸乳,热销
49,伊利纯牛奶,热销
50,优益C活菌型乳酸菌饮品,滞销
51,健能酸奶,滞销
52,农夫果园,滞销
53,冰糖雪梨,正常
54,冰红茶（罐）,滞销
55,加多宝,滞销
56,可乐可乐,滞销
57,可乐（500ml）,滞销
58,可口可乐330ml,热销
59,可口可乐330ml（罐）,滞销
60,可口可乐最新款,热销
61,可口可乐（500ml）,正常
62,商品1,滞销
63,商品14,滞销
64,商品2,滞销
65,天地一号,滞销
66,娃哈哈红枣酸奶,滞销
67,安慕希酸奶,滞销
68,小茗同学,滞销
69,小茗同学冷泡茶（乳酸菌味）,滞销
70,小茗同学（青柠红茶）,滞销
71,尖叫,滞销
72,康师傅矿泉水,滞销
73,怡宝,热销
74,怡宝矿泉水,滞销
75,怡宝纯净水,热销
76,拿铁咖啡（统一）,滞销
77,旺仔牛奶,滞销
78,旺仔牛奶145ml,滞销
79,果粒橙,热销
80,椰树牌椰汁,滞销
81,燕塘原味酸奶,滞销
82,燕塘甜牛奶,滞销
83,燕塘红枣牛奶,滞销
84,王老吉（500ml）,热销
85,王老吉（罐）,热销
86,珠江纯生啤酒,滞销
87,百事可乐330ml,滞销
88,百事可乐500ml,滞销
89,益力多100g*5瓶,滞销
90,红牛,热销
91,经典奶茶,滞销
92,统一冰红茶,热销
93,统一绿茶,热销
94,统一阿萨姆奶茶,滞销
95,维他原味豆奶,滞销
96,维他奶,正常
97,维他奶黑豆奶饮品,滞销
98,维他奶（巧克力味）,滞销
99,维他柠檬茶,正常
100,维他柠檬茶330ml（罐）,滞销
101,美年达（罐）,滞销
102,美汁源果粒橙,滞销
103,脉动,热销
104,脉动（椰子菠萝口味）,滞销
105,脉动（青柠）,滞销
106,芦荟汁,滞销
107,芬达330ml,热销
108,茉莉蜜茶,正常
109,营养快线,热销
110,银鹭八宝粥,热销
111,阿萨姆奶茶,热销
112,阿萨姆煎茶奶绿,正常
113,雀巢咖啡,滞销
114,雪力矿泉水,滞销
115,雪碧,滞销
116,雪碧330ml,正常
117,雪碧最新款,热销
118,雪碧（500ml）,正常
